Title,Body,Labels,Milestone,Assignee
Historical data ingestion pipeline,"- Bars + trades/quotes
- Vendor adapters & licensing toggles

**Estimate:** 1.5d","phase:P3,area:research,area:data-platform,type:feature,prio:p0",M10 – Research & Backtesting,
Deterministic backtester,"- Event loop parity with live
- Slippage/fees models

**Estimate:** 2d","phase:P3,area:research,type:feature,prio:p0",M10 – Research & Backtesting,
Batch runs & results registry,"- Param grids, walk-forward
- Artifacts in S3

**Estimate:** 1.25d","phase:P3,area:research,area:infra,type:feature,prio:p1",M10 – Research & Backtesting,
Strategy packaging standard,"- Data contracts, seeds
- Reproducibility docs

**Estimate:** 0.75d","phase:P3,area:strategies,area:research,type:doc,prio:p1",M10 – Research & Backtesting,
M10 validation,"- Live vs sim PnL diff <2% on replay (configurable)

**Estimate:** 1d","phase:P3,area:qa,area:research,type:test,prio:p0",M10 – Research & Backtesting,
"Portfolio aggregation (multi-broker, FX)","- Normalize across currencies/venues

**Estimate:** 1.25d","phase:P3,area:risk,type:feature,prio:p0",M11 – Risk 2.0,
VaR/ES intraday engine,"- Historical/Monte Carlo
- Refresh ≤60s @1k positions

**Estimate:** 2d","phase:P3,area:risk,type:feature,prio:p0",M11 – Risk 2.0,
Scenario & stress testing,"- Shock curves & persistence
- Policy limits with throttles

**Estimate:** 1.25d","phase:P3,area:risk,type:feature,prio:p1",M11 – Risk 2.0,
Headroom APIs & snapshots,"- Time-partitioned risk snapshots
- PM tooling endpoints

**Estimate:** 1d","phase:P3,area:risk,area:api,type:feature,prio:p1",M11 – Risk 2.0,
M11 validation,"- Reproducible scenarios (seeded)
- Blocks/orders on breach

**Estimate:** 1d","phase:P3,area:qa,area:risk,type:test,prio:p0",M11 – Risk 2.0,
WebSocket gateway,"- Auth, resubscribe, backfill cursor

**Estimate:** 1.5d","phase:P3,area:sdk,area:api,type:feature,prio:p0",M12 – Streaming APIs & SDKs,
gRPC services (optional),"- Data/events streaming services

**Estimate:** 1.5d","phase:P3,area:sdk,area:api,type:feature,prio:p2",M12 – Streaming APIs & SDKs,
Client SDK – Python,"- Auth, MD stream, orders, events
- Examples

**Estimate:** 1.25d","phase:P3,area:sdk,type:feature,prio:p0",M12 – Streaming APIs & SDKs,
Client SDK – TypeScript,"- Auth, MD stream, orders, events
- Examples

**Estimate:** 1.25d","phase:P3,area:sdk,type:feature,prio:p0",M12 – Streaming APIs & SDKs,
Streaming load test,"- 50K msgs/min, p95<100ms

**Estimate:** 1d","phase:P3,area:qa,area:observability,type:test,prio:p0",M12 – Streaming APIs & SDKs,
Options/futures contract handling,"- Chains, expiries, greeks (vendor/IB)

**Estimate:** 1.5d","phase:P4,area:derivatives,type:feature,prio:p0",M13 – Derivatives & Complex Orders,
Multileg order support,"- Verticals/calendars
- Venue IOC/FOK/PEG parity

**Estimate:** 1.75d","phase:P4,area:derivatives,area:oms,type:feature,prio:p0",M13 – Derivatives & Complex Orders,
Greek-based risk gates,"- Net delta/theta/vega limits

**Estimate:** 1d","phase:P4,area:risk,area:derivatives,type:feature,prio:p1",M13 – Derivatives & Complex Orders,
Portfolio margin support,"- Where applicable; policy toggles

**Estimate:** 1.25d","phase:P4,area:risk,area:derivatives,type:feature,prio:p2",M13 – Derivatives & Complex Orders,
M13 tests,"- Multileg lifecycle e2e
- Greek limits enforcement

**Estimate:** 1.25d","phase:P4,area:qa,area:derivatives,type:test,prio:p0",M13 – Derivatives & Complex Orders,
Surveillance rules,"- Wash/cross, spoofing heuristics, restricted lists

**Estimate:** 1.5d","phase:P4,area:compliance,type:feature,prio:p0",M14 – Compliance & Reporting,
Regulatory exports (CAT/MiFID II/EMIR),"- Pluggable reporters
- Schema validation

**Estimate:** 1.75d","phase:P4,area:compliance,area:reporting,type:feature,prio:p0",M14 – Compliance & Reporting,
WORM audit export & legal hold,"- Immutable exports with retention policies

**Estimate:** 1d","phase:P4,area:compliance,area:security,type:feature,prio:p1",M14 – Compliance & Reporting,
M14 tests,"- Synthetic violations → cases in <1m
- Export schema validation

**Estimate:** 1.25d","phase:P4,area:qa,area:compliance,type:test,prio:p0",M14 – Compliance & Reporting,
Active-active read-mostly design,"- API/data fan-out; warm standby for OLTP

**Estimate:** 1.5d","phase:P4,area:infra,area:multiregion,type:feature,prio:p1",M15 – Resilience & Latency,
Region-local connectors/strategies,"- Venue-local path for latency

**Estimate:** 1.25d","phase:P4,area:infra,area:latency,type:feature,prio:p1",M15 – Resilience & Latency,
Latency budget monitoring,"- client→ack; tick→signal→order

**Estimate:** 0.75d","phase:P4,area:observability,area:latency,type:feature,prio:p1",M15 – Resilience & Latency,
Failover drill ≤10m,"- Procedure + automation

**Estimate:** 1d","phase:P4,area:ops,area:infra,type:test,prio:p0",M15 – Resilience & Latency,
Event backbone (Kafka/Redpanda),"- CDC from OLTP
- Topics & retention

**Estimate:** 1.5d","phase:P4,area:data-platform,type:feature,prio:p1",M16 – Data Platform,
Time-series DB & materialized views,"- Timescale/QuestDB
- OHLCV marts

**Estimate:** 1.25d","phase:P4,area:data-platform,type:feature,prio:p1",M16 – Data Platform,
Lakehouse (S3+Iceberg/Delta) & dbt,"- Research datasets, lineage

**Estimate:** 1.5d","phase:P4,area:data-platform,area:research,type:feature,prio:p2",M16 – Data Platform,
T+0 BI dashboards,"- Close +5m readiness; p95<2s common queries

**Estimate:** 1d","phase:P4,area:data-platform,area:reporting,type:feature,prio:p1",M16 – Data Platform,
Usage metering,"- Orders, MD msgs, storage, compute minutes

**Estimate:** 1.25d","phase:P4,area:billing,type:feature,prio:p1",M17 – Billing & Entitlements,
Plans/limits & feature flags,"- Entitlements per tenant

**Estimate:** 1d","phase:P4,area:billing,area:auth,type:feature,prio:p1",M17 – Billing & Entitlements,
"Admin console (break-glass, impersonation)","- All audited actions

**Estimate:** 1.25d","phase:P4,area:admin,area:security,type:feature,prio:p2",M17 – Billing & Entitlements,
M17 validation,"- Over-limit behavior graceful (429/throttle) with audit

**Estimate:** 0.75d","phase:P4,area:qa,area:billing,type:test,prio:p1",M17 – Billing & Entitlements,
Policy suite & control mapping,"- Access, SDLC, incident, DR; SOC2/ISO mapping

**Estimate:** 1d","phase:P4,area:security,type:doc,prio:p1",M18 – Security & Assurance,
Continuous vulnerability mgmt,"- SBOM attestations; image signing enforcement

**Estimate:** 1d","phase:P4,area:security,area:ci,type:chore,prio:p1",M18 – Security & Assurance,
Quarterly disaster & incident drills,"- Evidence collection automation

**Estimate:** 1d","phase:P4,area:security,area:ops,type:test,prio:p1",M18 – Security & Assurance,
